Financial Year,Bag Number,Status Description,Blood Group,RH,Blood Classification,Stock Creation Date,Stock Issue Date,Expiry Date
2017-2018,7774,Expired,O,POSITIVE,PLATELETS,02-10-2017,NA,08-10-2017
2017-2018,7774PT,Expired,O,POSITIVE,PLATELETS,02-10-2017,NA,08-10-2017
2017-2018,7775PT,Expired,B,POSITIVE,PLATELETS,05-10-2017,NA,11-10-2017
2017-2018,7780,Issued,O,POSITIVE,WHOLE BLOOD,03-10-2017,21-10-2017,06-11-2017
2017-2018,7780,Issued,O,POSITIVE,WHOLE BLOOD,03-10-2017,21-10-2017,06-11-2017
2017-2018,7780,Issued,O,POSITIVE,WHOLE BLOOD,03-10-2017,21-10-2017,06-11-2017
2017-2018,7784PL,Issued,O,POSITIVE,PLASMA,03-10-2017,22-10-2017,03-10-2018
2017-2018,7787PT,Expired,B,NEGATIVE,PLATELETS,03-10-2017,NA,09-10-2017
2017-2018,7806,Issued,A,POSITIVE,WHOLE BLOOD,03-10-2017,22-10-2017,06-11-2017
2017-2018,7807,Expired,O,POSITIVE,WHOLE BLOOD,03-10-2017,NA,06-11-2017
2017-2018,7808,Issued,B,POSITIVE,WHOLE BLOOD,17-10-2017,22-10-2017,20-11-2017
2017-2018,7811PT,Expired,O,POSITIVE,PLATELETS,05-10-2017,NA,11-10-2017
2017-2018,7813PT,Expired,B,POSITIVE,PLATELETS,05-10-2017,NA,11-10-2017
2017-2018,7814,Issued,O,NEGATIVE,WHOLE BLOOD,17-10-2017,22-10-2017,20-11-2017
2017-2018,7815,Expired,O,POSITIVE,WHOLE BLOOD,04-10-2017,NA,07-11-2017
2017-2018,7815,Expired,O,POSITIVE,WHOLE BLOOD,04-10-2017,NA,07-11-2017
2017-2018,7815,Expired,O,POSITIVE,WHOLE BLOOD,04-10-2017,NA,07-11-2017
2017-2018,7816,Issued,O,POSITIVE,WHOLE BLOOD,17-10-2017,22-10-2017,20-11-2017
2017-2018,7826PL,Issued,O,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7830PL,Issued,B,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7830CY,Expired,B,POSITIVE,CRYO,04-10-2017,NA,04-10-2018
2017-2018,7836PT,Expired,O,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7838PT,Expired,O,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7839,Issued,A,POSITIVE,WHOLE BLOOD,04-10-2017,22-10-2017,07-11-2017
2017-2018,7840PL,Issued,O,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7841CY,Expired,B,POSITIVE,CRYO,04-10-2017,NA,04-10-2018
2017-2018,7841PL,Issued,B,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7845PT,Expired,B,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7852PT,Expired,O,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7854PL,Issued,B,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7856PL,Issued,O,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7857PT,Expired,B,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7858PT,Expired,B,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7861PT,Expired,B,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7862PL,Issued,O,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7864PT,Expired,O,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7868,Issued,B,POSITIVE,WHOLE BLOOD,04-10-2017,07-10-2017,07-11-2017
2017-2018,7870PT,Expired,AB,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7872PT,Expired,O,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7873PT,Expired,O,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7874,Expired,O,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7874PT,Expired,O,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7875PT,Expired,O,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7877CY,Expired,B,POSITIVE,CRYO,04-10-2017,NA,04-10-2018
2017-2018,7877PL,Issued,B,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7879PT,Expired,A,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7880CY,Issued,A,NEGATIVE,CRYO,04-10-2017,22-10-2017,04-10-2018
2017-2018,7880PL,Issued,A,NEGATIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7881PT,Expired,O,POSITIVE,PLATELETS,07-10-2017,NA,13-10-2017
2017-2018,7882PT,Expired,A,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7884PT,Expired,B,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7885PT,Expired,A,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7887PT,Expired,A,POSITIVE,PLATELETS,07-10-2017,NA,13-10-2017
2017-2018,7889PL,Issued,AB,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7892PL,Issued,O,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7893PL,Issued,A,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7893CY,Expired,A,POSITIVE,CRYO,04-10-2017,NA,04-10-2018
2017-2018,7894CY,Expired,B,POSITIVE,CRYO,04-10-2017,NA,04-10-2018
2017-2018,7894PL,Issued,B,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7895PL,Issued,B,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7896PL,Issued,O,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7899PL,Issued,O,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7900PL,Issued,O,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7901PT,Expired,O,POSITIVE,PLATELETS,04-10-2017,NA,10-10-2017
2017-2018,7902PL,Issued,A,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7902CY,Expired,A,POSITIVE,CRYO,04-10-2017,NA,04-10-2018
2017-2018,7903PL,Issued,A,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7903CY,Expired,A,POSITIVE,CRYO,04-10-2017,NA,04-10-2018
2017-2018,7904PL,Issued,O,POSITIVE,PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7905FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,04-10-2017,22-10-2017,04-10-2018
2017-2018,7905PT,Expired,O,POSITIVE,PLATELETS,07-10-2017,NA,13-10-2017
2017-2018,7909FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7909PT,Issued,A,POSITIVE,PLATELETS,06-10-2017,06-10-2017,11-10-2017
2017-2018,7909PR,Expired,A,POSITIVE,PACKED RED CELLS,06-10-2017,NA,15-11-2017
2017-2018,7910FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7910PT,Issued,A,POSITIVE,PLATELETS,06-10-2017,06-10-2017,11-10-2017
2017-2018,7912PL,Issued,O,NEGATIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7913FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7917PT,Expired,O,POSITIVE,PLATELETS,07-10-2017,NA,13-10-2017
2017-2018,7920,Expired,AB,POSITIVE,WHOLE BLOOD,05-10-2017,NA,08-11-2017
2017-2018,7923PR,Issued,A,POSITIVE,PACKED RED CELLS,06-10-2017,17-10-2017,15-11-2017
2017-2018,7923FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7924PL,Issued,A,POSITIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7924CY,Available,A,POSITIVE,CRYO,06-10-2017,NA,06-10-2018
2017-2018,7927PL,Issued,O,NEGATIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7930PR,Expired,O,POSITIVE,PACKED RED CELLS,06-10-2017,NA,15-11-2017
2017-2018,7930PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7931FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,18-08-2018,05-10-2018
2017-2018,7933FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,18-08-2018,05-10-2018
2017-2018,7937PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7940PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7940FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7941PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7942PR,Issued,A,POSITIVE,PACKED RED CELLS,06-10-2017,13-10-2017,15-11-2017
2017-2018,7942FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7946PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7950CY,Available,AB,POSITIVE,CRYO,06-10-2017,NA,06-10-2018
2017-2018,7950PL,Issued,AB,POSITIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7961CY,Available,A,POSITIVE,CRYO,06-10-2017,NA,06-10-2018
2017-2018,7961PL,Issued,A,POSITIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7961PR,Expired,A,POSITIVE,PACKED RED CELLS,06-10-2017,NA,15-11-2017
2017-2018,7963PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7964PT,Issued,A,POSITIVE,PLATELETS,06-10-2017,06-10-2017,11-10-2017
2017-2018,7968FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7969PT,Expired,B,POSITIVE,PLATELETS,06-10-2017,NA,11-10-2017
2017-2018,7972FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7973PL,Issued,A,POSITIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7973CY,Available,A,POSITIVE,CRYO,06-10-2017,NA,06-10-2018
2017-2018,7975FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7980PL,Issued,A,POSITIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7980PR,Issued,A,POSITIVE,PACKED RED CELLS,06-10-2017,22-10-2017,15-11-2017
2017-2018,7980PR,Issued,A,POSITIVE,PACKED RED CELLS,06-10-2017,22-10-2017,15-11-2017
2017-2018,7980CY,Available,A,POSITIVE,CRYO,06-10-2017,NA,06-10-2018
2017-2018,7981FP,Expired,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,NA,05-10-2018
2017-2018,7982CY,Expired,O,POSITIVE,CRYO,06-10-2017,NA,05-10-2018
2017-2018,7982PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7984CY,Expired,O,POSITIVE,CRYO,06-10-2017,NA,05-10-2018
2017-2018,7984PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7986,Expired,B,POSITIVE,PLATELETS,05-10-2017,NA,11-10-2017
2017-2018,7987FP,Issued,AB,NEGATIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,05-10-2018
2017-2018,7987PT,Expired,AB,NEGATIVE,PLATELETS,06-10-2017,NA,11-10-2017
2017-2018,7988,Issued,A,POSITIVE,WHOLE BLOOD,05-10-2017,22-10-2017,08-11-2017
2017-2018,7991FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,7992FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,7993FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,7996FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,7997PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,7998FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,7999FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,7999PT,Expired,O,POSITIVE,PLATELETS,06-10-2017,NA,12-10-2017
2017-2018,8000FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8001FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8001PR,Expired,A,POSITIVE,PACKED RED CELLS,06-10-2017,NA,16-11-2017
2017-2018,8002PT,Issued,O,POSITIVE,PLATELETS,07-10-2017,07-10-2017,13-10-2017
2017-2018,8003FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8004FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8005FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8007FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8009PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8011FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8013FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8013PT,Issued,O,POSITIVE,PLATELETS,07-10-2017,07-10-2017,13-10-2017
2017-2018,8014FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8015PT,Issued,O,POSITIVE,PLATELETS,07-10-2017,07-10-2017,13-10-2017
2017-2018,8015FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8017FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8019FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8019PT,Issued,O,POSITIVE,PLATELETS,06-10-2017,06-10-2017,12-10-2017
2017-2018,8019PR,Issued,O,POSITIVE,PACKED RED CELLS,06-10-2017,22-10-2017,16-11-2017
2017-2018,8024FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8025FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8025PT,Issued,O,POSITIVE,PLATELETS,07-10-2017,07-10-2017,13-10-2017
2017-2018,8026FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8027FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8028PT,Expired,B,POSITIVE,PLATELETS,06-10-2017,NA,12-10-2017
2017-2018,8028FP,Available,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,NA,06-10-2018
2017-2018,8029PT,Issued,O,POSITIVE,PLATELETS,06-10-2017,06-10-2017,12-10-2017
2017-2018,8029FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8031PT,Issued,B,POSITIVE,PLATELETS,06-10-2017,09-10-2017,12-10-2017
2017-2018,8031FP,Available,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,NA,06-10-2018
2017-2018,8032FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8033FP,Available,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,NA,06-10-2018
2017-2018,8034FP,Available,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,NA,06-10-2018
2017-2018,8035FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8035PT,Issued,O,POSITIVE,PLATELETS,06-10-2017,06-10-2017,12-10-2017
2017-2018,8036FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8037FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8039,Expired,O,POSITIVE,WHOLE BLOOD,06-10-2017,NA,09-11-2017
2017-2018,8040PR,Expired,B,POSITIVE,PACKED RED CELLS,06-10-2017,NA,16-11-2017
2017-2018,8040FP,Available,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,NA,06-10-2018
2017-2018,8041FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8042FP,Available,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,NA,06-10-2018
2017-2018,8043FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8043PT,Issued,O,POSITIVE,PLATELETS,07-10-2017,07-10-2017,13-10-2017
2017-2018,8045PT,Issued,B,NEGATIVE,PLATELETS,06-10-2017,11-10-2017,12-10-2017
2017-2018,8046PT,Expired,AB,NEGATIVE,PLATELETS,06-10-2017,NA,12-10-2017
2017-2018,8046FP,Issued,AB,NEGATIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8047FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8048CY,Available,B,POSITIVE,CRYO,06-10-2017,NA,06-10-2018
2017-2018,8048PL,Issued,B,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8048PR,Issued,B,POSITIVE,PACKED RED CELLS,06-10-2017,09-10-2017,16-11-2017
2017-2018,8049FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8051PR,Expired,O,POSITIVE,PACKED RED CELLS,06-10-2017,NA,16-11-2017
2017-2018,8051PR,Expired,O,POSITIVE,PACKED RED CELLS,06-10-2017,NA,16-11-2017
2017-2018,8052,Expired,O,POSITIVE,WHOLE BLOOD,06-10-2017,NA,09-11-2017
2017-2018,8053FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8055PR,Issued,B,POSITIVE,PACKED RED CELLS,06-10-2017,22-10-2017,16-11-2017
2017-2018,8055FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8056PL,Issued,A,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8056PR,Expired,A,POSITIVE,PACKED RED CELLS,06-10-2017,NA,16-11-2017
2017-2018,8056PR,Expired,A,POSITIVE,PACKED RED CELLS,06-10-2017,NA,16-11-2017
2017-2018,8065PT,Expired,O,POSITIVE,PLATELETS,06-10-2017,NA,12-10-2017
2017-2018,8066PT,Expired,O,POSITIVE,PLATELETS,06-10-2017,NA,12-10-2017
2017-2018,8068PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8069CY,Available,B,POSITIVE,CRYO,06-10-2017,NA,06-10-2018
2017-2018,8069PL,Issued,B,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8070PL,Issued,A,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8071CY,Available,B,POSITIVE,CRYO,06-10-2017,NA,06-10-2018
2017-2018,8071PL,Issued,B,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8072PL,Issued,B,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8072CY,Available,B,POSITIVE,CRYO,06-10-2017,NA,06-10-2018
2017-2018,8073PL,Issued,A,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8074CY,Available,B,POSITIVE,CRYO,06-10-2017,NA,06-10-2018
2017-2018,8074PL,Issued,B,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8075,Issued,B,POSITIVE,WHOLE BLOOD,12-10-2017,22-10-2017,15-11-2017
2017-2018,8076PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8077PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8078CY,Available,B,POSITIVE,CRYO,06-10-2017,NA,06-10-2018
2017-2018,8079,Issued,O,POSITIVE,WHOLE BLOOD,10-10-2017,22-10-2017,13-11-2017
2017-2018,8080PL,Issued,O,POSITIVE,PLASMA,06-10-2017,22-10-2017,06-10-2018
2017-2018,8087,Expired,O,POSITIVE,WHOLE BLOOD,07-10-2017,NA,10-11-2017
2017-2018,8115,Expired,A,POSITIVE,WHOLE BLOOD,07-10-2017,NA,10-11-2017
2017-2018,8115,Expired,A,POSITIVE,WHOLE BLOOD,07-10-2017,NA,10-11-2017
2017-2018,8122PT,Expired,B,POSITIVE,PLATELETS,07-10-2017,NA,13-10-2017
2017-2018,8139PT,Expired,B,POSITIVE,PLATELETS,07-10-2017,NA,13-10-2017
2017-2018,8140,Expired,A,POSITIVE,WHOLE BLOOD,12-10-2017,NA,15-11-2017
2017-2018,8142PT,Issued,B,POSITIVE,PLATELETS,07-10-2017,09-10-2017,13-10-2017
2017-2018,8144PT,Issued,B,POSITIVE,PLATELETS,07-10-2017,09-10-2017,13-10-2017
2017-2018,8146PT,Expired,O,NEGATIVE,PLATELETS,07-10-2017,NA,13-10-2017
2017-2018,8148PT,Issued,B,POSITIVE,PLATELETS,07-10-2017,09-10-2017,13-10-2017
2017-2018,8162FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,07-10-2017,14-09-2018,07-10-2018
2017-2018,8166,Expired,B,POSITIVE,PLATELETS,07-10-2017,NA,13-10-2017
2017-2018,8188PT,Expired,B,POSITIVE,PLATELETS,09-10-2017,NA,15-10-2017
2017-2018,8195PT,Expired,A,POSITIVE,PLATELETS,09-10-2017,NA,15-10-2017
2017-2018,8197PT,Expired,B,POSITIVE,PLATELETS,09-10-2017,NA,15-10-2017
2017-2018,8207,Expired,A,POSITIVE,WHOLE BLOOD,12-10-2017,NA,15-11-2017
2017-2018,8208,Issued,O,POSITIVE,WHOLE BLOOD,09-10-2017,22-10-2017,12-11-2017
2017-2018,8209,Expired,B,POSITIVE,WHOLE BLOOD,09-10-2017,NA,12-11-2017
2017-2018,8209,Expired,B,POSITIVE,WHOLE BLOOD,09-10-2017,NA,12-11-2017
2017-2018,8214,Expired,O,POSITIVE,PLATELETS,09-10-2017,NA,15-10-2017
2017-2018,8215,Expired,O,POSITIVE,PLATELETS,09-10-2017,NA,15-10-2017
2017-2018,8217FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,09-10-2017,22-10-2017,09-10-2018
2017-2018,8219,Expired,B,POSITIVE,PLATELETS,09-10-2017,NA,15-10-2017
